repeat,partition_seed,method,n_observations,V_RMSE,V_MAE,V_R2,V_NLL,V_CRPS,V_NRMSE,V_NMAE,V_normalized_NLL,V_normalized_CRPS,V_normalization_location,V_normalization_scale,TD_RMSE,TD_MAE,TD_R2,TD_NLL,TD_CRPS,TD_NRMSE,TD_NMAE,TD_normalized_NLL,TD_normalized_CRPS,TD_normalization_location,TD_normalization_scale,macro_NRMSE,macro_NMAE,macro_R2,macro_normalized_NLL,macro_normalized_CRPS,macro_raw_RMSE,macro_raw_MAE,macro_raw_NLL,macro_raw_CRPS,n_samples,n_targets
3,3,Model Selection,50,0.8728179287212791,0.7172252449007402,0.8125501217131944,1.4690695201890183,0.5035865557599396,0.4329548224547286,0.3557742323430331,0.767975930693299,0.2498003543064908,7.626792999999999,2.0159561308790925,0.7676043821853111,0.5988141447436509,0.6455904437939708,1.1267700032596781,0.42477720460423996,0.5953230687668916,0.46441615309036927,0.8725997611053102,0.32944010594010514,3.50061688,1.2893912943358141,0.5141389456108101,0.4100951927167012,0.7290702827535827,0.8202878458993046,0.28962023012329796,0.8202111554532951,0.6580196948221956,1.2979197617243483,0.4641818801820898,50,2
3,3,Model Selection + Bagging,50,0.8380289134833918,0.7158672950206959,0.8271951803062695,1.269490394021011,0.4817865375194888,0.4156979909666758,0.35510063143513443,0.5683968045252921,0.23898661788309736,7.626792999999999,2.0159561308790925,0.7893107518266073,0.6461121116783382,0.6252630047520826,1.1787101661519679,0.4461513905875944,0.6121576555495467,0.5010985528727029,0.9245399239976,0.3460170644454476,3.50061688,1.2893912943358141,0.5139278232581113,0.4280995921539187,0.7262290925291761,0.746468364261446,0.29250184116427247,0.8136698326549996,0.680989703349517,1.2241002800864895,0.4639689640535416,50,2
4,4,Single GP,50,0.866418434954867,0.681841419099255,0.8152888066488364,1.6919150741283098,0.5099797981509299,0.4297804013111388,0.3382223495121028,0.9908214846325903,0.2529716745019368,7.626792999999999,2.0159561308790925,0.8728379371464301,0.6668574926763404,0.5417549723579156,1.4818447477174437,0.4941448057317175,0.6769379791694985,0.5171878355358752,1.2276745055630762,0.3832388258726839,3.50061688,1.2893912943358141,0.5533591902403187,0.42770509252398903,0.678521889503376,1.1092479950978333,0.31810525018731034,0.8696281860506485,0.6743494558877977,1.5868799109228768,0.5020623019413237,50,2
4,4,Model Selection,50,0.85453640406926,0.6951010772979381,0.8203203126648472,1.4726300742372826,0.5023272966670577,0.42388640852845577,0.34479970404654964,0.7715364847415637,0.2491757082273459,7.626792999999999,2.0159561308790925,0.8548525669517143,0.6560531736756053,0.560445254627665,1.8646246982255092,0.497400018948322,0.6629892498165676,0.5088084405080061,1.610454456071142,0.3857634382466809,3.50061688,1.2893912943358141,0.5434378291725117,0.4268040722772779,0.6903827836462562,1.1909954704063528,0.3174695732370134,0.8546944855104872,0.6755771254867717,1.668627386231396,0.4998636578076898,50,2
4,4,Model Selection + Bagging,50,0.8606377405533358,0.7125565514204354,0.8177453493651822,1.2678811857505412,0.4896532294415296,0.4269129309763501,0.35345836176986295,0.5667875962548224,0.24288883172671402,7.626792999999999,2.0159561308790925,0.7590500756858944,0.6070881486343522,0.6534456228638296,1.1795489981882112,0.4319797634428528,0.5886886928896887,0.4708331375442338,0.9253787560338431,0.33502612072883,3.50061688,1.2893912943358141,0.5078008119330194,0.41214574965704837,0.7355954861145059,0.7460831761443327,0.288957476227772,0.8098439081196152,0.6598223500273939,1.2237150919693762,0.46081649644219125,50,2
5,5,Single GP,50,0.9136789721430603,0.7314001426317484,0.7945883337522761,1.9857300919884266,0.5411898380474964,0.45322363822700584,0.36280558461994356,1.2846365024927078,0.26845318197053286,7.626792999999999,2.0159561308790925,0.6962031421904916,0.5268948411752195,0.7084570856096968,1.024067874322468,0.3808314675720127,0.5399471403668168,0.40863843543059697,0.7698976321681004,0.2953575607691574,3.50061688,1.2893912943358141,0.4965853892969113,0.3857220100252703,0.7515227096809864,1.027267067330404,0.28190537136984517,0.8049410571667759,0.6291474919034838,1.5048989831554473,0.46101065280975456,50,2
5,5,Model Selection,50,0.8926581365207578,0.7095107799657536,0.8039313397084367,1.5025787867796265,0.5077093020424959,0.4427964095287622,0.35194752956075454,0.801485197283907,0.2518454118449,7.626792999999999,2.0159561308790925,0.6779943779915532,0.5319169659693628,0.7235079057234418,1.0573926326444567,0.37938699502884093,0.5258251556140673,0.4125333933198003,0.803222390490089,0.2942372859933642,3.50061688,1.2893912943358141,0.48431078257141474,0.38224046144027746,0.7637196227159393,0.802353793886998,0.2730413489191321,0.7853262572561555,0.6207138729675582,1.2799857097120415,0.4435481485356684,50,2
5,5,Model Selection + Bagging,50,0.8524678573032105,0.7007254957351114,0.8211891486394478,1.2814844860383854,0.48613533612868076,0.42286032133619766,0.34758965485501336,0.5803908965426663,0.24114380699181834,7.626792999999999,2.0159561308790925,0.7239798990522848,0.5837259901446054,0.6847293446525419,1.129275068040918,0.41224634927547327,0.5614896751922142,0.45271438756323507,0.8751048258865501,0.31972167881576086,3.50061688,1.2893912943358141,0.4921749982642059,0.4001520212091242,0.7529592466459949,0.7277478612146082,0.2804327429037896,0.7882238781777476,0.6422257429398583,1.2053797770396517,0.449190842702077,50,2
6,6,Single GP,50,0.9377132866044784,0.7802109919500942,0.783639495797483,1.6238192746411313,0.5609199566947161,0.46514568062330414,0.3870178423028829,0.9227256851454123,0.27824016014183656,7.626792999999999,2.0159561308790925,0.828740434939727,0.6155845541017804,0.5868882091019421,1.3042406848246544,0.45572170952109053,0.6427377310365853,0.4774226077110889,1.0500704426702872,0.35343941867999035,3.50061688,1.2893912943358141,0.5539417058299447,0.43222022500698587,0.6852638524497126,0.9863980639078498,0.31583978941091345,0.8832268607721028,0.6978977730259373,1.4640299797328928,0.5083208331079033,50,2
6,6,Model Selection,50,0.7989512828956956,0.6559577798146882,0.842935353043811,1.2347714475910485,0.464062577853693,0.39631382382676117,0.32538296333296024,0.5336778580953294,0.23019477990889153,7.626792999999999,2.0159561308790925,0.7929596475767228,0.5998340367353311,0.62179026137375,1.2234973678336334,0.4389833803779953,0.6149875922539007,0.46520714027646287,0.9693271256792657,0.34045784418307456,3.50061688,1.2893912943358141,0.505650708040331,0.3952950518047116,0.7323628072087804,0.7515024918872976,0.285326312045983,0.7959554652362092,0.6278959082750096,1.229134407712341,0.45152297911584416,50,2
