method,metric,point_estimate,ci_lower,ci_upper,confidence,bootstrap_unit,n_bootstrap
Model Selection + Bagging,TD_normalized_NLL,0.9600243863727199,0.8079025604814825,1.1348358546692618,0.95,original_observation_id,2000
Model Selection + Bagging,TD_normalized_CRPS,0.35113219881355395,0.2951660632599324,0.4115831394591294,0.95,original_observation_id,2000
Model Selection + Bagging,macro_NRMSE,0.5195782045504092,0.44605575033424366,0.5899638384031777,0.95,original_observation_id,2000
Model Selection + Bagging,macro_NMAE,0.4235181026258984,0.35824264980940723,0.4881309457682368,0.95,original_observation_id,2000
Model Selection + Bagging,macro_R2,0.7191958658949791,0.5868416645366386,0.7971490721683508,0.95,original_observation_id,2000
Model Selection + Bagging,macro_normalized_NLL,0.7716351875831016,0.6540905153468777,0.9047647736620008,0.95,original_observation_id,2000
Model Selection + Bagging,macro_normalized_CRPS,0.2960552361566068,0.2564693700317685,0.33865152373814156,0.95,original_observation_id,2000
Model Selection + Bagging,macro_raw_RMSE,0.8229862750116004,0.7058328926250373,0.9315892017082626,0.95,original_observation_id,2000
Model Selection + Bagging,macro_raw_MAE,0.6720950479530272,0.5710734175128127,0.7739945735277772,0.95,original_observation_id,2000
Model Selection + Bagging,macro_raw_NLL,1.249267103408145,1.1317224311719212,1.3823966894870447,0.95,original_observation_id,2000
Model Selection + Bagging,macro_raw_CRPS,0.46927421409074305,0.40812231509841135,0.5345253136513729,0.95,original_observation_id,2000
Model Selection + Bagging,n_samples,50.0,50.0,50.0,0.95,original_observation_id,2000
Model Selection + Bagging,n_targets,2.0,2.0,2.0,0.95,original_observation_id,2000
