repeat,partition_seed,outer_fold,family,target,kernel,mean_inner_cv_score,std_inner_cv_score
3,3,3,ICM,__joint__,"[""Matern"", 0.5]",0.9459461088507564,0.13175330228990298
3,3,3,ICM,__joint__,"[""Matern"", 1.5]",0.9459475633859725,0.13175601316193652
3,3,3,ICM,__joint__,"[""Matern"", 2.5]",0.9054185768925391,0.1849968098441983
3,3,3,IND,V,"[""RBF"", null]",1.082768083471691,0.1982292927320692
3,3,3,IND,V,"[""Matern"", 0.5]",0.9580514030893841,0.2090625399656501
3,3,3,IND,V,"[""Matern"", 1.5]",0.9524149709454145,0.2788356752056275
3,3,3,IND,V,"[""Matern"", 2.5]",0.9773359231042328,0.2989832550151446
3,3,3,IND,TD,"[""RBF"", null]",0.8499635729205263,0.21768707212097763
3,3,3,IND,TD,"[""Matern"", 0.5]",0.8637316566264388,0.27030619806830014
3,3,3,IND,TD,"[""Matern"", 1.5]",0.8611838873724882,0.3042975520824026
3,3,3,IND,TD,"[""Matern"", 2.5]",0.8167425969881744,0.21095259506205596
3,3,4,ICM,__joint__,"[""RBF"", null]",0.9414275127348597,0.17015901731779062
3,3,4,ICM,__joint__,"[""Matern"", 0.5]",0.9414452611755916,0.170175858547556
3,3,4,ICM,__joint__,"[""Matern"", 1.5]",0.9414352905255011,0.17016552926674058
3,3,4,ICM,__joint__,"[""Matern"", 2.5]",0.9414559005176729,0.17017698895437994
3,3,4,IND,V,"[""RBF"", null]",0.8361348784048778,0.11697138914203473
3,3,4,IND,V,"[""Matern"", 0.5]",0.8565483300431286,0.30166331735017504
3,3,4,IND,V,"[""Matern"", 1.5]",0.9078040700093002,0.3145071903804695
3,3,4,IND,V,"[""Matern"", 2.5]",0.9085101393483408,0.3252065453945258
3,3,4,IND,TD,"[""RBF"", null]",0.8735426797680441,0.3009075076044509
3,3,4,IND,TD,"[""Matern"", 0.5]",0.7372202885695975,0.3245747862339658
3,3,4,IND,TD,"[""Matern"", 1.5]",0.7900281910719185,0.3053243320976268
3,3,4,IND,TD,"[""Matern"", 2.5]",0.8162147257008601,0.3008050782970606
4,4,0,ICM,__joint__,"[""RBF"", null]",0.7479230875806557,0.12923950406629373
4,4,0,ICM,__joint__,"[""Matern"", 0.5]",0.7479245344162979,0.129242170782822
4,4,0,ICM,__joint__,"[""Matern"", 1.5]",0.7479292522353218,0.12923367185981394
4,4,0,ICM,__joint__,"[""Matern"", 2.5]",0.7479284050016226,0.12923704582359377
4,4,0,IND,V,"[""RBF"", null]",0.9325863639583879,0.13724214654534952
4,4,0,IND,V,"[""Matern"", 0.5]",0.8900280525411025,0.18590820286125315
4,4,0,IND,V,"[""Matern"", 1.5]",0.8489101164340592,0.21757539844524806
4,4,0,IND,V,"[""Matern"", 2.5]",0.8748624203480787,0.19115358985198036
4,4,0,IND,TD,"[""RBF"", null]",0.7263867031839373,0.1521597752961577
4,4,0,IND,TD,"[""Matern"", 0.5]",0.6950661235711113,0.13041354092980895
4,4,0,IND,TD,"[""Matern"", 1.5]",0.6879601352606368,0.12122447132285297
4,4,0,IND,TD,"[""Matern"", 2.5]",0.6984989472181558,0.13608738349786026
4,4,1,ICM,__joint__,"[""RBF"", null]",0.9187397231131363,0.303632783489709
4,4,1,ICM,__joint__,"[""Matern"", 0.5]",0.9187290165186857,0.3036277213376917
4,4,1,ICM,__joint__,"[""Matern"", 1.5]",0.9187345437083891,0.3036154703816566
4,4,1,ICM,__joint__,"[""Matern"", 2.5]",0.9187328474386108,0.3036206316845596
4,4,1,IND,V,"[""RBF"", null]",1.1663778677862553,0.2588724716136008
4,4,1,IND,V,"[""Matern"", 0.5]",0.8533541042172408,0.2445014898541631
4,4,1,IND,V,"[""Matern"", 1.5]",0.9782278177206702,0.21537480664713904
4,4,1,IND,V,"[""Matern"", 2.5]",1.0475498864253268,0.21889399262684037
4,4,1,IND,TD,"[""RBF"", null]",0.9525034885492063,0.22461822130021755
4,4,1,IND,TD,"[""Matern"", 0.5]",0.8860065292903059,0.21487236524370665
4,4,1,IND,TD,"[""Matern"", 1.5]",0.9411824570519594,0.21660858595118093
4,4,1,IND,TD,"[""Matern"", 2.5]",0.9393392555032094,0.2690885043555456
4,4,2,ICM,__joint__,"[""RBF"", null]",0.8391843525053202,0.104967424843245
4,4,2,ICM,__joint__,"[""Matern"", 0.5]",0.8391775603408238,0.10496715371496575
4,4,2,ICM,__joint__,"[""Matern"", 1.5]",0.8391825056859776,0.10496576347265336
4,4,2,ICM,__joint__,"[""Matern"", 2.5]",0.8391822275119459,0.10496067696395547
4,4,2,IND,V,"[""RBF"", null]",0.8746686294583348,0.24036002137176646
4,4,2,IND,V,"[""Matern"", 0.5]",0.7742354680702253,0.1932302776185067
4,4,2,IND,V,"[""Matern"", 1.5]",0.8191610407955674,0.2248642744169024
4,4,2,IND,V,"[""Matern"", 2.5]",0.8199069875495241,0.23497129920928722
4,4,2,IND,TD,"[""RBF"", null]",0.8186361539101312,0.19215855892031927
4,4,2,IND,TD,"[""Matern"", 0.5]",0.8944479852239995,0.1486809807279436
4,4,2,IND,TD,"[""Matern"", 1.5]",0.8556509809322069,0.1816943044031976
4,4,2,IND,TD,"[""Matern"", 2.5]",0.8342115267891173,0.1878158693598902
4,4,3,ICM,__joint__,"[""RBF"", null]",0.7328897845782478,0.050345734717488815
4,4,3,ICM,__joint__,"[""Matern"", 0.5]",0.7328813649373875,0.05032485222212211
4,4,3,ICM,__joint__,"[""Matern"", 1.5]",0.7328874456740371,0.050334826858663695
4,4,3,ICM,__joint__,"[""Matern"", 2.5]",0.7328826982275501,0.05033821346314554
4,4,3,IND,V,"[""RBF"", null]",1.0145834948258623,0.1550157393941447
4,4,3,IND,V,"[""Matern"", 0.5]",0.9101072167519149,0.18096321908459548
4,4,3,IND,V,"[""Matern"", 1.5]",0.928023980343583,0.14576513656558218
4,4,3,IND,V,"[""Matern"", 2.5]",0.9528761781019952,0.1366832516391401
4,4,3,IND,TD,"[""RBF"", null]",0.5880739540102533,0.1768115679730511
4,4,3,IND,TD,"[""Matern"", 0.5]",0.6282283733487806,0.17096852536938875
4,4,3,IND,TD,"[""Matern"", 1.5]",0.5719995675730295,0.18534931963447823
4,4,3,IND,TD,"[""Matern"", 2.5]",0.5701755459194645,0.18370905643366936
4,4,4,ICM,__joint__,"[""RBF"", null]",0.977212288609055,0.17612425586816036
4,4,4,ICM,__joint__,"[""Matern"", 0.5]",0.9927863846315852,0.19371671022488748
4,4,4,ICM,__joint__,"[""Matern"", 1.5]",0.9927814929192683,0.19372890984600394
4,4,4,ICM,__joint__,"[""Matern"", 2.5]",0.9927790500726715,0.1937287565748055
4,4,4,IND,V,"[""RBF"", null]",0.8920521426026738,0.15378482542136326
4,4,4,IND,V,"[""Matern"", 0.5]",0.7386268610103792,0.07476530540195683
4,4,4,IND,V,"[""Matern"", 1.5]",0.796172546522633,0.18085261818923667
4,4,4,IND,V,"[""Matern"", 2.5]",0.8120426779790968,0.18765323062475123
4,4,4,IND,TD,"[""RBF"", null]",1.017796774070839,0.11436111136093892
4,4,4,IND,TD,"[""Matern"", 0.5]",0.9435095115898653,0.14413279211351934
4,4,4,IND,TD,"[""Matern"", 1.5]",0.9702853029071459,0.16053331991473616
4,4,4,IND,TD,"[""Matern"", 2.5]",0.9889839730196076,0.16365420735919073
5,5,0,ICM,__joint__,"[""RBF"", null]",0.7750789136203914,0.15205213852628746
5,5,0,ICM,__joint__,"[""Matern"", 0.5]",0.8134067089680552,0.1839229117093783
5,5,0,ICM,__joint__,"[""Matern"", 1.5]",0.7750845038428855,0.152045449416198
5,5,0,ICM,__joint__,"[""Matern"", 2.5]",0.8134272411746457,0.1839407736919798
5,5,0,IND,V,"[""RBF"", null]",0.9785313026158786,0.2102913374357115
5,5,0,IND,V,"[""Matern"", 0.5]",0.84814110642874,0.2885188266377601
5,5,0,IND,V,"[""Matern"", 1.5]",0.9255332317239879,0.24375394562596536
5,5,0,IND,V,"[""Matern"", 2.5]",0.956980088386785,0.24456518687114545
5,5,0,IND,TD,"[""RBF"", null]",0.6629314428945958,0.1549893912486687
5,5,0,IND,TD,"[""Matern"", 0.5]",0.6490832845876776,0.16263189986467208
5,5,0,IND,TD,"[""Matern"", 1.5]",0.6460644073510073,0.1251356880025476
5,5,0,IND,TD,"[""Matern"", 2.5]",0.6517215636486412,0.1268602967744764
5,5,1,ICM,__joint__,"[""RBF"", null]",0.9195606055278315,0.06894357162059409
5,5,1,ICM,__joint__,"[""Matern"", 0.5]",0.9195592291743552,0.06894007699162273
5,5,1,ICM,__joint__,"[""Matern"", 1.5]",0.919567054228362,0.06893439677089593
5,5,1,ICM,__joint__,"[""Matern"", 2.5]",0.919563996175771,0.06894572239674514
5,5,1,IND,V,"[""RBF"", null]",0.9517057412585329,0.1583260026268424
5,5,1,IND,V,"[""Matern"", 0.5]",0.8972502972072599,0.1760565162007114
5,5,1,IND,V,"[""Matern"", 1.5]",0.8693941955478277,0.2579452239037415
5,5,1,IND,V,"[""Matern"", 2.5]",0.9047505115614266,0.24355373977671316
5,5,1,IND,TD,"[""RBF"", null]",0.9671636130805737,0.26829664876070414
5,5,1,IND,TD,"[""Matern"", 0.5]",0.8973646985423581,0.20257843341013163
5,5,1,IND,TD,"[""Matern"", 1.5]",0.9357108895014237,0.18838223953242286
5,5,1,IND,TD,"[""Matern"", 2.5]",0.9016257910624645,0.2863482469394131
5,5,2,ICM,__joint__,"[""RBF"", null]",0.9268393039110159,0.1323684211725113
5,5,2,ICM,__joint__,"[""Matern"", 0.5]",0.9441802559799154,0.1387211277034741
5,5,2,ICM,__joint__,"[""Matern"", 1.5]",0.9439166086895512,0.1390964831204799
5,5,2,ICM,__joint__,"[""Matern"", 2.5]",0.9439024138478626,0.13908916074126243
5,5,2,IND,V,"[""RBF"", null]",0.8833904019668797,0.1120102455819283
5,5,2,IND,V,"[""Matern"", 0.5]",0.8106753289160762,0.15790484505672556
5,5,2,IND,V,"[""Matern"", 1.5]",0.795040582121864,0.12292329676282357
5,5,2,IND,V,"[""Matern"", 2.5]",0.8680013440037001,0.0971582410821205
5,5,2,IND,TD,"[""RBF"", null]",1.0632753584960968,0.14001925063216622
5,5,2,IND,TD,"[""Matern"", 0.5]",0.7551500730659656,0.18062000590746885
5,5,2,IND,TD,"[""Matern"", 1.5]",0.8727632656551952,0.23512987037339225
5,5,2,IND,TD,"[""Matern"", 2.5]",1.00814972525501,0.10773377885735726
5,5,3,ICM,__joint__,"[""RBF"", null]",0.8298302961706121,0.07246429447045179
5,5,3,ICM,__joint__,"[""Matern"", 0.5]",0.818850092661178,0.050621165491575124
5,5,3,ICM,__joint__,"[""Matern"", 1.5]",0.8279179358147022,0.054563376321062514
5,5,3,ICM,__joint__,"[""Matern"", 2.5]",0.80386600269271,0.06636221916481265
5,5,3,IND,V,"[""RBF"", null]",0.7019277600846351,0.14744228090177172
5,5,3,IND,V,"[""Matern"", 0.5]",0.6373057578604333,0.15192740531574905
5,5,3,IND,V,"[""Matern"", 1.5]",0.5969604818232049,0.1545287293176501
5,5,3,IND,V,"[""Matern"", 2.5]",0.6154591378205337,0.1592694724944356
5,5,3,IND,TD,"[""RBF"", null]",0.9027378555375568,0.15136182801580061
5,5,3,IND,TD,"[""Matern"", 0.5]",0.8064160816102092,0.10181897280569392
5,5,3,IND,TD,"[""Matern"", 1.5]",0.8221650255749584,0.13614427766994613
5,5,3,IND,TD,"[""Matern"", 2.5]",0.8450043548193188,0.14275626100715733
5,5,4,ICM,__joint__,"[""RBF"", null]",0.9279022806578092,0.14259545723657369
5,5,4,ICM,__joint__,"[""Matern"", 0.5]",0.9279138332318817,0.14260366735649996
5,5,4,ICM,__joint__,"[""Matern"", 1.5]",0.9279150338724304,0.14259684963582464
5,5,4,ICM,__joint__,"[""Matern"", 2.5]",0.9279086738364525,0.14261003804317932
5,5,4,IND,V,"[""RBF"", null]",1.1333584449829457,0.3256924667167773
5,5,4,IND,V,"[""Matern"", 0.5]",0.8815797388240043,0.21991109345834647
5,5,4,IND,V,"[""Matern"", 1.5]",1.061255549589171,0.17034894813931073
5,5,4,IND,V,"[""Matern"", 2.5]",1.0900272362109642,0.28281656241977726
5,5,4,IND,TD,"[""RBF"", null]",0.9655233924006991,0.22486281869937622
5,5,4,IND,TD,"[""Matern"", 0.5]",0.8337831338847677,0.1307141209691024
5,5,4,IND,TD,"[""Matern"", 1.5]",0.9725688611535706,0.2466181785790682
5,5,4,IND,TD,"[""Matern"", 2.5]",0.9670041701277073,0.24253714778921917
6,6,0,ICM,__joint__,"[""RBF"", null]",0.8180265624907245,0.12590724330637096
6,6,0,ICM,__joint__,"[""Matern"", 0.5]",0.7934755474696944,0.14555197974922326
6,6,0,ICM,__joint__,"[""Matern"", 1.5]",0.7949406390321244,0.1438670995362854
6,6,0,ICM,__joint__,"[""Matern"", 2.5]",0.7934825185076705,0.14555120113715833
6,6,0,IND,V,"[""RBF"", null]",0.9870241711230097,0.29236671218302424
6,6,0,IND,V,"[""Matern"", 0.5]",0.9027181557841871,0.32165327774851193
6,6,0,IND,V,"[""Matern"", 1.5]",0.9080309301353917,0.2415529590731454
6,6,0,IND,V,"[""Matern"", 2.5]",0.9207824081418943,0.28795703231635794
6,6,0,IND,TD,"[""RBF"", null]",0.6818911951410548,0.0681774899551973
6,6,0,IND,TD,"[""Matern"", 0.5]",0.7778810366400908,0.17287128345785258
6,6,0,IND,TD,"[""Matern"", 1.5]",0.7028910039137252,0.10393391744337613
6,6,0,IND,TD,"[""Matern"", 2.5]",0.6894555572703206,0.08977294678286177
