repeat,partition_seed,calibration_method,n_observations,T_coverage,T_coverage_error,T_MPIW,T_normalized_MPIW,T_interval_score,T_normalized_interval_score,P_coverage,P_coverage_error,P_MPIW,P_normalized_MPIW,P_interval_score,P_normalized_interval_score,TD_coverage,TD_coverage_error,TD_MPIW,TD_normalized_MPIW,TD_interval_score,TD_normalized_interval_score,macro_coverage,macro_coverage_error,macro_MPIW,macro_normalized_MPIW,macro_interval_score,macro_normalized_interval_score,simultaneous_joint_coverage,nominal_coverage,n_test,T_ECE,P_ECE,TD_ECE,macro_ECE
4,4,holdout,100,0.94,0.039999999999999925,5.341114563151033,1.6694718390023982,6.752578633435045,2.1106530736008717,0.96,0.05999999999999994,1716.0893852922275,2.7016303621931637,2026.5221827219004,3.1903430587137764,0.94,0.039999999999999925,7.9018672137542945,2.373354196325238,8.517023830418527,2.5581186954066686,0.9466666666666667,0.0466666666666666,576.4441223563775,2.248152132506933,680.5972617285846,2.619704942573772,0.87,0.9,100,0.08666666666666667,0.08166666666666667,0.08166666666666667,0.08333333333333333
4,4,cross_fitted,100,0.92,0.020000000000000018,4.112272562650223,1.2853727731308056,6.5862580800754635,2.058666268824809,0.93,0.030000000000000027,714.635490584928,1.1250468395247832,1210.913949539294,1.9063353693091658,0.91,0.010000000000000009,5.980232250838498,1.7961842338759917,7.504284218549459,2.2539387158405146,0.92,0.020000000000000018,241.5759984661389,1.4022012821771934,408.33483061263956,2.0729801179914964,0.81,0.9,100,0.014999999999999994,0.016666666666666673,0.02833333333333334,0.020000000000000004
5,5,uncalibrated,100,0.95,0.04999999999999993,5.219011179152171,1.6313059920386639,6.486918344920111,2.027615654131015,0.94,0.039999999999999925,1024.1132421400487,1.612256012421224,1237.7376345683545,1.9485637535189295,0.9,0.0,6.287602659138788,1.8885040398954982,9.683663092449294,2.908522987612305,0.93,0.029999999999999954,345.2066186594466,1.7106886814517954,417.9694053352412,2.2949007984207497,0.82,0.9,100,0.12166666666666666,0.15833333333333335,0.05999999999999998,0.11333333333333334
5,5,holdout,100,0.96,0.05999999999999994,4.844270030136703,1.514173174945964,5.805627753962096,1.8146646974844882,0.92,0.020000000000000018,1984.6045934978572,3.124352421671097,2345.2503081408645,3.6921150458239667,0.95,0.04999999999999993,7.221078912088067,2.1688769849445877,8.524091391748835,2.5602414628345844,0.9433333333333334,0.0433333333333333,665.5566474800273,2.269134193853883,786.5266757621918,2.6890070687143464,0.85,0.9,100,0.12000000000000001,0.05833333333333333,0.05000000000000001,0.07611111111111112
5,5,cross_fitted,100,0.92,0.020000000000000018,4.39419615384441,1.3734936120838364,6.317556736377145,1.974678306929868,0.92,0.020000000000000018,822.8087970134152,1.2953434986211634,1182.2821642012434,1.861260502431004,0.92,0.020000000000000018,6.536853180883701,1.9633673292570117,9.268369578064107,2.7837880890864097,0.92,0.020000000000000018,277.91328211604775,1.5440681466540038,399.2893635052282,2.2065756328157606,0.78,0.9,100,0.04666666666666669,0.018333333333333313,0.014999999999999977,0.026666666666666658
6,6,uncalibrated,100,0.9,0.0,4.448712267677871,1.3905337103144044,6.390401109076225,1.9974472678673325,0.94,0.039999999999999925,945.5437091204526,1.488564415836391,1179.806877424237,1.857363671666121,0.92,0.020000000000000018,6.19062655436086,1.8593769185465914,8.483915772473154,2.5481745712988815,0.9199999999999999,0.01999999999999998,318.7276826474971,1.5794916815657956,398.2270647685955,2.1343285036107784,0.77,0.9,100,0.07666666666666665,0.165,0.07,0.10388888888888888
6,6,holdout,100,0.95,0.04999999999999993,6.847231264782238,2.1402386405557188,7.523338946006447,2.351569575436681,0.98,0.07999999999999996,1455.6070935127707,2.291554480181224,1574.2894588773013,2.4783954946841593,0.94,0.039999999999999925,7.703742990236995,2.313846874250782,8.981478881206522,2.697619437949318,0.9566666666666667,0.05666666666666661,490.05268925593003,2.2485466649959083,530.2647589015048,2.509194836023386,0.89,0.9,100,0.10333333333333333,0.04,0.06,0.06777777777777778
6,6,cross_fitted,100,0.89,0.010000000000000009,4.064909038528125,1.2705683594110022,6.757428600630745,2.1121690275384952,0.91,0.010000000000000009,748.3019628507659,1.1780477871682153,1094.1556537926601,1.7225234073388287,0.92,0.020000000000000018,6.65683205315226,1.999403414433602,8.417540586428185,2.528238545791203,0.9066666666666667,0.013333333333333345,253.00790131414874,1.4826731870042733,369.776874326573,2.1209769935561753,0.73,0.9,100,0.02166666666666663,0.04666666666666669,0.03333333333333335,0.033888888888888885
7,7,uncalibrated,100,0.93,0.030000000000000027,4.7194900609684085,1.475170707926205,6.818895120084054,2.1313816136112145,0.94,0.039999999999999925,978.686010346992,1.5407401638096374,1318.030545140967,2.0749684541895124,0.92,0.020000000000000018,6.263172337264016,1.881166304981636,8.309218976456807,2.495703761211327,0.93,0.02999999999999999,329.8895575817415,1.632359058905826,444.38621974583594,2.234017943004018,0.82,0.9,100,0.07333333333333335,0.13166666666666668,0.07333333333333335,0.09277777777777779
7,7,holdout,100,0.94,0.039999999999999925,6.502468853526096,2.0324762756160824,8.06243897306003,2.5200760365750874,0.93,0.030000000000000027,966.4407222864588,1.5214624721569359,1340.0966862953644,2.109707062463702,0.95,0.04999999999999993,8.320627698162875,2.4991304117488964,9.890708872729796,2.970709931301366,0.9400000000000001,0.03999999999999996,327.08793961271596,2.017689719840638,452.6832780470515,2.5334976767800517,0.83,0.9,100,0.025000000000000005,0.02833333333333332,0.05333333333333331,0.03555555555555554
7,7,cross_fitted,100,0.91,0.010000000000000009,4.007286253197821,1.2525572090684285,6.751758380795751,2.1103966872856232,0.9,0.0,805.9395602171279,1.268786349147207,1306.1418568462511,2.0562521556453173,0.88,0.020000000000000018,6.296013068331535,1.8910301365015854,8.417417055783588,2.5282014429184514,0.8966666666666666,0.010000000000000009,272.0809531795524,1.470791231572407,440.43701076094345,2.2316167619497973,0.76,0.9,100,0.03999999999999999,0.040000000000000015,0.05166666666666666,0.04388888888888889
8,8,uncalibrated,100,0.94,0.039999999999999925,4.623120092862462,1.445048353129995,6.187992119806063,1.934180302975997,0.94,0.039999999999999925,933.4050956039064,1.4694546613490718,1185.9034962041294,1.866961546079679,0.92,0.020000000000000018,6.177953244520881,1.8555704444213756,6.839091545913675,2.054145707649118,0.9333333333333332,0.03333333333333329,314.73538964709655,1.5900244863001474,399.6435266232831,1.951762518901598,0.82,0.9,100,0.11,0.14833333333333334,0.06333333333333335,0.10722222222222223
8,8,holdout,100,0.93,0.030000000000000027,5.530871247929258,1.728784073884102,7.40879100512426,2.3157653328469654,0.97,0.06999999999999995,1475.9550777079714,2.3235882031226547,1675.0434819537,2.6370120155887258,0.95,0.04999999999999993,7.60792275737861,2.2850669231840954,8.03937606353409,2.414655473204286,0.9499999999999998,0.04999999999999997,496.3646239044265,2.1124797333969507,563.497216340786,2.4558109405466593,0.87,0.9,100,0.08666666666666667,0.13999999999999999,0.06833333333333332,0.09833333333333333
8,8,cross_fitted,100,0.92,0.020000000000000018,4.194176549661124,1.3109734971370042,6.24075966231715,1.950673850379641,0.91,0.010000000000000009,742.3741068512395,1.168715595099267,1128.4243545516051,1.7764724400854603,0.92,0.020000000000000018,6.371187529495557,1.9136090558928864,6.8866986462340005,2.0684446712059157,0.9166666666666666,0.01666666666666668,250.97982364346538,1.4644327160430526,380.51727095338543,1.931863653890339,0.78,0.9,100,0.026666666666666672,0.040000000000000015,0.025000000000000022,0.03055555555555557
9,9,uncalibrated,100,0.91,0.010000000000000009,4.413550104633385,1.379543075249923,6.847550314595311,2.1403383659354813,0.93,0.030000000000000027,913.4918977545491,1.438105420231878,1266.5463083136904,1.9939170948728022,0.91,0.010000000000000009,6.258203223132125,1.8796738137061035,9.00246396328258,2.703922382716442,0.9166666666666666,0.01666666666666668,308.05455036077154,1.5657741030626349,427.46544086385603,2.2793926145082417,0.79,0.9,100,0.06833333333333332,0.13500000000000004,0.05166666666666666,0.085
9,9,holdout,100,0.92,0.020000000000000018,6.534255599224154,2.0424118566954608,8.78023945072778,2.7444388861863502,0.9,0.0,1134.4215927350983,1.7859138601564026,1640.6931101460848,2.5829344085459707,0.87,0.030000000000000027,5.498799257191003,1.6515841052211047,9.981100925422934,2.997859508960717,0.8966666666666666,0.01666666666666668,382.15154919717116,1.826636607357656,553.1514835074119,2.7750776012310125,0.76,0.9,100,0.02166666666666665,0.045000000000000005,0.03833333333333333,0.034999999999999996
9,9,cross_fitted,100,0.91,0.010000000000000009,4.142336164795691,1.2947697513396423,6.866457901427342,2.1462483091479605,0.9,0.0,698.3472446740915,1.0994043409016179,1212.6087277171418,1.9090034495511963,0.91,0.010000000000000009,6.308341644824521,1.8947330687279607,8.675422336109712,2.6056942554615703,0.9066666666666667,0.006666666666666672,236.2659741612372,1.4296357203230736,409.38353598489294,2.2203153380535756,0.77,0.9,100,0.016666666666666673,0.025000000000000022,0.02,0.020555555555555566
