repeat,partition_seed,calibration_method,observation_id,outer_fold,T_true,T_mean,T_std,T_lower,T_upper,P_true,P_mean,P_std,P_lower,P_upper,TD_true,TD_mean,TD_std,TD_lower,TD_upper
0,0,uncalibrated,59,2,308.33,308.84939426948756,1.3948769546957762,306.55502585140516,311.14376268756996,1098.75,1206.2649944154614,228.7962557000039,829.9286433943937,1582.601345436529,2.44,4.758062037704923,1.4088693137559827,2.4406782370727647,7.075445838337082
0,0,uncalibrated,60,1,306.45,307.0167436486812,2.1300570061727493,303.51311165646456,310.52037564089784,268.91,361.8758333132553,422.67222920967845,-333.358115913948,1057.1097825404586,8.27,6.048623982975456,3.5426728291461305,0.2214457308520119,11.875802235098899
0,0,uncalibrated,61,2,303.98,304.18016848943046,1.7781729232451842,301.2553343072837,307.1050026715772,704.72,1125.2659655330674,387.0143236360237,488.6840516181833,1761.8478794479515,7.93,6.05193596165579,1.578843411975758,3.454969649079028,8.648902274232551
0,0,uncalibrated,62,1,308.91,308.52849488221256,1.172684636490147,306.59960030461144,310.45738945981367,671.26,872.2005046672004,286.66139518107354,400.68446909664254,1343.7165402377584,8.35,7.428069310999118,1.5306252503631999,4.910414816435704,9.945723805562531
0,0,uncalibrated,63,1,309.65,309.9898593750546,1.106141470013881,308.17041856618084,311.80930018392837,616.92,583.3062946761293,222.40952283817742,217.47518436720696,949.1374049850515,2.11,4.141989174251763,1.9923493101970398,0.8648661852198996,7.419112163283627
0,0,uncalibrated,64,4,311.97,312.25979460138075,1.6529548017119697,309.540925900598,314.9786633021635,177.02,243.80929236319798,290.9032388638568,-234.68395517394714,722.3025399003432,2.3,1.8610095926930956,1.8341721285854922,-1.1559350854640518,4.877954270850243
0,0,uncalibrated,65,4,306.98,307.9069465696007,1.381425331592093,305.6347041025688,310.1791890366326,2215.59,1750.1144502480824,408.73099346219277,1077.8117932043165,2422.4171072918484,6.68,7.4088335615873895,1.645150429538764,4.702801910679782,10.114865212494998
0,0,uncalibrated,66,3,306.01,306.68094573624103,1.266408958674549,304.59788836736135,308.7640031051207,1493.56,1378.9027748175715,343.46578988887154,813.9518245851091,1943.853725050034,12.0,11.682081834306508,1.7991580777716365,8.722730144624794,14.641433523988223
0,0,uncalibrated,67,4,311.22,312.44010575611463,1.5039559840066252,309.966318301046,314.9138932111833,462.07,495.3881611611631,251.71659581669675,81.35120556819186,909.4251167541344,3.64,6.169070157047506,2.520108728202135,2.023860175152164,10.314280138942848
0,0,uncalibrated,68,1,304.88,309.5630221373107,1.7945216952628094,306.61129661821457,312.5147476564069,395.97,398.99909149281655,256.64624994738887,-23.14642357663996,821.1446065622731,8.3,9.712538970936155,1.937157936060933,6.526197713828502,12.898880228043808
0,0,uncalibrated,69,3,310.04,309.71036046722315,1.4356561022151817,307.3489163204395,312.0718046140068,990.55,813.7851311133343,336.8117123789986,259.77916440700255,1367.791097819666,2.36,2.60742080191389,1.943795959398803,-0.5898390319568465,5.804680635784626
0,0,uncalibrated,70,4,312.89,312.2933907189105,1.3321470861303852,310.10220375265607,314.4845776851649,164.97,375.1168891390794,233.47778063907862,-8.919885157689123,759.1536634358479,0.86,4.253630810722687,1.6734149716473683,1.501108125213619,7.006153496231754
0,0,uncalibrated,71,1,312.89,311.6229837855573,1.5340102553204473,309.09976145331274,314.1462061178019,42.42,142.03645205477812,307.6891823592056,-364.0672155224939,648.1401196320501,0.86,2.5502303820210583,2.1307748283638617,-0.9545823226301389,6.0550430866722555
0,0,uncalibrated,72,3,311.83,311.01002011065134,1.0055261254103607,309.3560768162757,312.663963405027,492.81,377.1775903895625,175.61378244730662,88.31862338844354,666.0365573906815,6.49,3.51921556290445,1.4374233313871887,1.1548645828075657,5.883566543001335
0,0,uncalibrated,73,0,307.38,307.7719572349546,1.010342588334579,306.1100915640689,309.43382290584026,663.32,595.3878293253365,211.03775312622864,248.26161567197005,942.514042978703,9.56,9.696413954539292,1.572513505942053,7.109859410860332,12.282968498218253
0,0,uncalibrated,74,1,313.21,312.2446035011798,1.4966487057437035,309.78283544926506,314.7063715530946,15.08,88.87906790434317,292.28313004363133,-391.88389864465245,569.6420344533387,0.39,1.0645752307670069,2.1260636477517063,-2.432488271367063,4.561638732901077
0,0,uncalibrated,75,0,307.86,308.3490676608129,0.8116383217505767,307.0140414235087,309.68409389811717,946.9,1110.7404911557976,141.769857890711,877.549826211867,1343.9311560997282,8.0,6.7873569327465715,1.2848959231311192,4.673891213329191,8.900822652163953
