method,metric,point_estimate,ci_lower,ci_upper,confidence,bootstrap_unit,n_bootstrap
Model Selection + Bagging,P_RMSE,238.34487646928082,175.99118188449987,299.68636955019014,0.95,original_observation_id,2000
Model Selection + Bagging,P_MAE,149.62308841992927,118.76528795819338,186.6112139632649,0.95,original_observation_id,2000
Model Selection + Bagging,P_R2,0.8582850388248918,0.7986368151068923,0.9051158647220251,0.95,original_observation_id,2000
Model Selection + Bagging,P_NLL,6.937567366911241,6.720822728602287,7.278258934041478,0.95,original_observation_id,2000
Model Selection + Bagging,P_CRPS,123.97570130108713,102.02994982576762,150.9994917112457,0.95,original_observation_id,2000
Model Selection + Bagging,P_NRMSE,0.37522506721462945,0.2770619785498291,0.47179465245300345,0.95,original_observation_id,2000
Model Selection + Bagging,P_NMAE,0.23555082970900082,0.1869715590996627,0.2937810383828173,0.95,original_observation_id,2000
Model Selection + Bagging,P_normalized_NLL,0.48361942751168707,0.26687478920273344,0.8243109946419237,0.95,original_observation_id,2000
Model Selection + Bagging,P_normalized_CRPS,0.19517428502255565,0.16062520557773852,0.2377176940660168,0.95,original_observation_id,2000
Model Selection + Bagging,TD_RMSE,1.8538684669063794,1.4910386383226786,2.2537623063169434,0.95,original_observation_id,2000
Model Selection + Bagging,TD_MAE,1.313378513787783,1.0930867307002232,1.5785179062809478,0.95,original_observation_id,2000
Model Selection + Bagging,TD_R2,0.6892918744506632,0.5406182476443364,0.7914682198489097,0.95,original_observation_id,2000
Model Selection + Bagging,TD_NLL,1.9353879551199,1.8062039350886554,2.092567737557796,0.95,original_observation_id,2000
Model Selection + Bagging,TD_CRPS,0.969868175686058,0.8213630138482196,1.1558882764614362,0.95,original_observation_id,2000
Model Selection + Bagging,TD_NRMSE,0.5568160519970116,0.4478388099190647,0.6769256028380645,0.95,original_observation_id,2000
Model Selection + Bagging,TD_NMAE,0.394477953468501,0.32831252526480126,0.4741135222223577,0.95,original_observation_id,2000
Model Selection + Bagging,TD_normalized_NLL,0.7325930947068282,0.603409074675584,0.8897728771447243,0.95,original_observation_id,2000
Model Selection + Bagging,TD_normalized_CRPS,0.2913033897406092,0.246699331042901,0.3471751950789235,0.95,original_observation_id,2000
Model Selection + Bagging,macro_NRMSE,0.45157893916874636,0.3843273821460809,0.5212893911958809,0.95,original_observation_id,2000
Model Selection + Bagging,macro_NMAE,0.3063599718837791,0.2666391430573087,0.3563642341612036,0.95,original_observation_id,2000
Model Selection + Bagging,macro_R2,0.789518747377566,0.7286027325416453,0.8331616193440902,0.95,original_observation_id,2000
Model Selection + Bagging,macro_normalized_NLL,0.565938199296298,0.44235615325283795,0.7290051734770903,0.95,original_observation_id,2000
Model Selection + Bagging,macro_normalized_CRPS,0.23492328177074065,0.20754485938568956,0.26915246900440837,0.95,original_observation_id,2000
Model Selection + Bagging,macro_raw_RMSE,80.51702284190645,59.665240655337705,101.00793488301689,0.95,original_observation_id,2000
Model Selection + Bagging,macro_raw_MAE,50.62040786683882,40.282421797199476,63.019426415736135,0.95,original_observation_id,2000
Model Selection + Bagging,macro_raw_NLL,3.5058281454165625,3.3822460993731025,3.668895119597355,0.95,original_observation_id,2000
Model Selection + Bagging,macro_raw_CRPS,41.881316042658234,34.54829696991115,50.91354828732406,0.95,original_observation_id,2000
Model Selection + Bagging,n_samples,100.0,100.0,100.0,0.95,original_observation_id,2000
Model Selection + Bagging,n_targets,3.0,3.0,3.0,0.95,original_observation_id,2000
