Lambda,Pin_Height,Amplitude,v_in,Tin,Tout,Pin,Pout,ΔP(Pa),Twall,,,,
5,0.45,0.15,1.0108,293.53,303.98,14460,185.6,14274.4,308.39,,,,
5,0.45,0.15,1.0885,293.5,303.47,15998,160.22,15837.78,307.59,,,,
5,0.45,0.15,1.1663,293.47,302.47,17599,131.18,17467.82,306.75,,,,
5,0.45,0.15,1.244,293.44,302.16,19261,91.664,19169.336,306.15,,,,
5,0.6,0.15,0.3888,294.5,321.39,4265.6,172.99,4092.61,324.21,,,,
5,0.6,0.15,0.4665,294.21,316.52,5333.5,190.58,5142.92,320.32,,,,
5,0.6,0.15,0.5443,294.01,313.15,6463,202.61,6260.39,317.41,,,,
5,0.6,0.15,0.622,293.88,310.74,7652.5,208.54,7443.96,315.16,,,,
5,0.6,0.15,0.6998,293.77,308.7,8908.1,208.22,8699.88,313.28,,,,
5,0.6,0.15,0.7775,293.69,307.2,10228,201.23,10026.77,311.79,,,,
5,0.6,0.15,0.8553,293.63,305.85,11618,187.57,11430.43,310.5,,,,
5,0.6,0.15,0.933,293.58,304.94,13075,166.55,12908.45,309.47,,,,
5,0.6,0.15,1.0108,293.54,303.95,14603,138.89,14464.11,308.52,,,,
5,0.6,0.15,1.0885,293.5,303.21,16198,103.9,16094.1,307.72,,,,
5,0.6,0.15,1.1663,293.47,302.5,17860,61.848,17798.152,307,,,,
5,0.6,0.15,1.244,293.45,302.06,19586,12.418,19573.582,306.42,,,,
5,0.3,0.05,0.3888,295.25,320.78,2738.8,249.91,2488.89,338.21,,,,
5,0.3,0.05,0.4665,294.81,316.36,3377.7,301.07,3076.63,333.35,,,,
5,0.3,0.05,0.5443,294.51,312.98,4043.4,353.56,3689.84,329.68,,,,
5,0.3,0.05,0.622,294.3,310.43,4734.3,407.2,4327.1,326.88,,,,
5,0.3,0.05,0.6998,294.14,308.43,5451.9,462.05,4989.85,324.64,,,,
5,0.3,0.05,0.7775,294.01,306.82,6194.7,517.92,5676.78,322.8,,,,
5,0.3,0.05,0.8553,293.92,305.75,6962.2,574.41,6387.79,321.32,,,,
5,0.3,0.05,0.933,293.84,304.66,7756.5,631.83,7124.67,319.97,,,,
5,0.3,0.05,1.0108,293.77,303.89,8578.1,689.42,7888.68,318.82,,,,
5,0.3,0.05,1.0885,293.72,303.1,9421.6,747.66,8673.94,317.76,,,,
5,0.3,0.05,1.1663,293.67,302.52,10295,805.77,9489.23,316.83,,,,
5,0.3,0.05,1.244,293.63,301.92,11193,864.36,10328.64,315.94,,,,
5,0.3,0.1,0.3888,294.8,321.05,2741.1,223.55,2517.55,330.2,,,,
5,0.3,0.1,0.4665,294.43,316.62,3380.8,263.03,3117.77,325.77,,,,
5,0.3,0.1,0.5443,294.19,313.2,4048,301.12,3746.88,322.32,,,,
5,0.3,0.1,0.622,294.02,310.64,4740.5,337.59,4402.91,319.6,,,,
5,0.3,0.1,0.6998,293.89,308.62,5460.2,372.42,5087.78,317.39,,,,
5,0.3,0.1,0.7775,293.79,307.01,6205.4,405.49,5799.91,315.54,,,,
5,0.3,0.1,0.8553,293.71,305.68,6978.3,436.85,6541.45,313.98,,,,
5,0.3,0.1,0.933,293.65,304.83,7773.8,465.86,7307.94,312.72,,,,
5,0.3,0.1,1.0108,293.6,303.9,8599.1,493.33,8105.77,311.56,,,,
5,0.3,0.1,1.0885,293.56,303.09,9449.9,518.81,8931.09,310.53,,,,
5,0.3,0.1,1.1663,293.52,302.56,10325,541.73,9783.27,309.67,,,,
5,0.3,0.1,1.244,293.49,301.96,11228,563.03,10664.97,308.88,,,,
5,0.3,0.2,0.3888,294.44,321.49,5996.4,63.278,5933.122,321.06,,,,
5,0.3,0.2,0.4665,294.14,316.75,7779.8,31.822,7747.978,317.03,,,,
5,0.3,0.2,0.5443,293.95,313.35,9751.7,-11.818,9763.518,314.1,,,,
5,0.3,0.2,0.622,293.81,310.71,11896,-67.419,11963.419,311.86,,,,
5,0.3,0.2,0.6998,293.71,308.67,14205,-134.72,14339.72,310.1,,,,
5,0.3,0.2,0.7775,293.63,307.3,16660,-211.66,16871.66,308.77,,,,
