repeat,partition_seed,calibration_method,target,nominal_coverage,empirical_coverage,absolute_calibration_error,n_observations
3,3,holdout,TD,0.5,0.68,0.18000000000000005,50
3,3,holdout,V,0.6,0.82,0.21999999999999997,50
3,3,holdout,TD,0.6,0.78,0.18000000000000005,50
3,3,holdout,V,0.7,0.88,0.18000000000000005,50
3,3,holdout,TD,0.7,0.86,0.16000000000000003,50
3,3,holdout,V,0.8,0.88,0.07999999999999996,50
3,3,holdout,TD,0.8,0.86,0.05999999999999994,50
3,3,holdout,V,0.9,0.88,0.020000000000000018,50
3,3,holdout,TD,0.9,0.86,0.040000000000000036,50
3,3,holdout,V,0.95,0.88,0.06999999999999995,50
3,3,holdout,TD,0.95,0.86,0.08999999999999997,50
3,3,cross_fitted,V,0.5,0.54,0.040000000000000036,50
3,3,cross_fitted,TD,0.5,0.64,0.14,50
3,3,cross_fitted,V,0.6,0.7,0.09999999999999998,50
3,3,cross_fitted,TD,0.6,0.68,0.08000000000000007,50
3,3,cross_fitted,V,0.7,0.78,0.08000000000000007,50
3,3,cross_fitted,TD,0.7,0.76,0.06000000000000005,50
3,3,cross_fitted,V,0.8,0.86,0.05999999999999994,50
3,3,cross_fitted,TD,0.8,0.9,0.09999999999999998,50
3,3,cross_fitted,V,0.9,0.92,0.020000000000000018,50
3,3,cross_fitted,TD,0.9,0.94,0.039999999999999925,50
3,3,cross_fitted,V,0.95,1.0,0.050000000000000044,50
3,3,cross_fitted,TD,0.95,0.96,0.010000000000000009,50
4,4,uncalibrated,V,0.5,0.52,0.020000000000000018,50
4,4,uncalibrated,TD,0.5,0.54,0.040000000000000036,50
4,4,uncalibrated,V,0.6,0.64,0.040000000000000036,50
4,4,uncalibrated,TD,0.6,0.66,0.06000000000000005,50
4,4,uncalibrated,V,0.7,0.76,0.06000000000000005,50
4,4,uncalibrated,TD,0.7,0.8,0.10000000000000009,50
4,4,uncalibrated,V,0.8,0.86,0.05999999999999994,50
4,4,uncalibrated,TD,0.8,0.86,0.05999999999999994,50
4,4,uncalibrated,V,0.9,0.96,0.05999999999999994,50
4,4,uncalibrated,TD,0.9,0.94,0.039999999999999925,50
4,4,uncalibrated,V,0.95,1.0,0.050000000000000044,50
4,4,uncalibrated,TD,0.95,0.94,0.010000000000000009,50
4,4,holdout,V,0.5,0.64,0.14,50
4,4,holdout,TD,0.5,0.64,0.14,50
4,4,holdout,V,0.6,0.72,0.12,50
4,4,holdout,TD,0.6,0.74,0.14,50
4,4,holdout,V,0.7,0.9,0.20000000000000007,50
4,4,holdout,TD,0.7,0.94,0.24,50
4,4,holdout,V,0.8,0.9,0.09999999999999998,50
4,4,holdout,TD,0.8,0.94,0.1399999999999999,50
4,4,holdout,V,0.9,0.9,0.0,50
4,4,holdout,TD,0.9,0.94,0.039999999999999925,50
4,4,holdout,V,0.95,0.9,0.04999999999999993,50
4,4,holdout,TD,0.95,0.94,0.010000000000000009,50
4,4,cross_fitted,V,0.5,0.48,0.020000000000000018,50
4,4,cross_fitted,TD,0.5,0.66,0.16000000000000003,50
4,4,cross_fitted,V,0.6,0.62,0.020000000000000018,50
4,4,cross_fitted,TD,0.6,0.76,0.16000000000000003,50
4,4,cross_fitted,V,0.7,0.7,0.0,50
4,4,cross_fitted,TD,0.7,0.82,0.12,50
4,4,cross_fitted,V,0.8,0.88,0.07999999999999996,50
4,4,cross_fitted,TD,0.8,0.84,0.039999999999999925,50
4,4,cross_fitted,V,0.9,0.92,0.020000000000000018,50
4,4,cross_fitted,TD,0.9,0.92,0.020000000000000018,50
4,4,cross_fitted,V,0.95,1.0,0.050000000000000044,50
4,4,cross_fitted,TD,0.95,0.96,0.010000000000000009,50
5,5,uncalibrated,V,0.5,0.52,0.020000000000000018,50
5,5,uncalibrated,TD,0.5,0.58,0.07999999999999996,50
5,5,uncalibrated,V,0.6,0.64,0.040000000000000036,50
5,5,uncalibrated,TD,0.6,0.7,0.09999999999999998,50
5,5,uncalibrated,V,0.7,0.7,0.0,50
5,5,uncalibrated,TD,0.7,0.78,0.08000000000000007,50
5,5,uncalibrated,V,0.8,0.84,0.039999999999999925,50
5,5,uncalibrated,TD,0.8,0.86,0.05999999999999994,50
5,5,uncalibrated,V,0.9,0.92,0.020000000000000018,50
5,5,uncalibrated,TD,0.9,0.92,0.020000000000000018,50
5,5,uncalibrated,V,0.95,0.96,0.010000000000000009,50
5,5,uncalibrated,TD,0.95,0.98,0.030000000000000027,50
5,5,holdout,V,0.5,0.76,0.26,50
5,5,holdout,TD,0.5,0.74,0.24,50
5,5,holdout,V,0.6,0.82,0.21999999999999997,50
5,5,holdout,TD,0.6,0.84,0.24,50
5,5,holdout,V,0.7,0.96,0.26,50
5,5,holdout,TD,0.7,1.0,0.30000000000000004,50
5,5,holdout,V,0.8,0.96,0.15999999999999992,50
5,5,holdout,TD,0.8,1.0,0.19999999999999996,50
5,5,holdout,V,0.9,0.96,0.05999999999999994,50
5,5,holdout,TD,0.9,1.0,0.09999999999999998,50
5,5,holdout,V,0.95,0.96,0.010000000000000009,50
5,5,holdout,TD,0.95,1.0,0.050000000000000044,50
5,5,cross_fitted,V,0.5,0.54,0.040000000000000036,50
5,5,cross_fitted,TD,0.5,0.62,0.12,50
5,5,cross_fitted,V,0.6,0.64,0.040000000000000036,50
5,5,cross_fitted,TD,0.6,0.76,0.16000000000000003,50
5,5,cross_fitted,V,0.7,0.68,0.019999999999999907,50
5,5,cross_fitted,TD,0.7,0.8,0.10000000000000009,50
5,5,cross_fitted,V,0.8,0.86,0.05999999999999994,50
5,5,cross_fitted,TD,0.8,0.86,0.05999999999999994,50
5,5,cross_fitted,V,0.9,0.92,0.020000000000000018,50
5,5,cross_fitted,TD,0.9,0.9,0.0,50
5,5,cross_fitted,V,0.95,0.98,0.030000000000000027,50
5,5,cross_fitted,TD,0.95,0.98,0.030000000000000027,50
6,6,uncalibrated,V,0.5,0.52,0.020000000000000018,50
6,6,uncalibrated,TD,0.5,0.58,0.07999999999999996,50
6,6,uncalibrated,V,0.6,0.66,0.06000000000000005,50
6,6,uncalibrated,TD,0.6,0.68,0.08000000000000007,50
6,6,uncalibrated,V,0.7,0.76,0.06000000000000005,50
6,6,uncalibrated,TD,0.7,0.78,0.08000000000000007,50
6,6,uncalibrated,V,0.8,0.86,0.05999999999999994,50
6,6,uncalibrated,TD,0.8,0.82,0.019999999999999907,50
6,6,uncalibrated,V,0.9,0.96,0.05999999999999994,50
6,6,uncalibrated,TD,0.9,0.88,0.020000000000000018,50
6,6,uncalibrated,V,0.95,0.96,0.010000000000000009,50
6,6,uncalibrated,TD,0.95,0.9,0.04999999999999993,50
6,6,holdout,V,0.5,0.68,0.18000000000000005,50
6,6,holdout,TD,0.5,0.7,0.19999999999999996,50
6,6,holdout,V,0.6,0.76,0.16000000000000003,50
6,6,holdout,TD,0.6,0.72,0.12,50
6,6,holdout,V,0.7,0.94,0.24,50
6,6,holdout,TD,0.7,0.86,0.16000000000000003,50
6,6,holdout,V,0.8,0.94,0.1399999999999999,50
6,6,holdout,TD,0.8,0.86,0.05999999999999994,50
6,6,holdout,V,0.9,0.94,0.039999999999999925,50
6,6,holdout,TD,0.9,0.86,0.040000000000000036,50
6,6,holdout,V,0.95,0.94,0.010000000000000009,50
6,6,holdout,TD,0.95,0.86,0.08999999999999997,50
6,6,cross_fitted,V,0.5,0.58,0.07999999999999996,50
6,6,cross_fitted,TD,0.5,0.66,0.16000000000000003,50
6,6,cross_fitted,V,0.6,0.68,0.08000000000000007,50
6,6,cross_fitted,TD,0.6,0.72,0.12,50
6,6,cross_fitted,V,0.7,0.72,0.020000000000000018,50
6,6,cross_fitted,TD,0.7,0.78,0.08000000000000007,50
6,6,cross_fitted,V,0.8,0.82,0.019999999999999907,50
6,6,cross_fitted,TD,0.8,0.8,0.0,50
6,6,cross_fitted,V,0.9,0.92,0.020000000000000018,50
6,6,cross_fitted,TD,0.9,0.92,0.020000000000000018,50
6,6,cross_fitted,V,0.95,0.98,0.030000000000000027,50
6,6,cross_fitted,TD,0.95,0.96,0.010000000000000009,50
7,7,uncalibrated,V,0.5,0.56,0.06000000000000005,50
7,7,uncalibrated,TD,0.5,0.42,0.08000000000000002,50
7,7,uncalibrated,V,0.6,0.68,0.08000000000000007,50
7,7,uncalibrated,TD,0.6,0.56,0.039999999999999925,50
7,7,uncalibrated,V,0.7,0.8,0.10000000000000009,50
7,7,uncalibrated,TD,0.7,0.72,0.020000000000000018,50
7,7,uncalibrated,V,0.8,0.84,0.039999999999999925,50
7,7,uncalibrated,TD,0.8,0.84,0.039999999999999925,50
7,7,uncalibrated,V,0.9,0.96,0.05999999999999994,50
7,7,uncalibrated,TD,0.9,0.9,0.0,50
7,7,uncalibrated,V,0.95,1.0,0.050000000000000044,50
7,7,uncalibrated,TD,0.95,0.96,0.010000000000000009,50
7,7,holdout,V,0.5,0.7,0.19999999999999996,50
7,7,holdout,TD,0.5,0.78,0.28,50
7,7,holdout,V,0.6,0.82,0.21999999999999997,50
7,7,holdout,TD,0.6,0.84,0.24,50
7,7,holdout,V,0.7,0.96,0.26,50
7,7,holdout,TD,0.7,0.92,0.22000000000000008,50
7,7,holdout,V,0.8,0.96,0.15999999999999992,50
7,7,holdout,TD,0.8,0.92,0.12,50
7,7,holdout,V,0.9,0.96,0.05999999999999994,50
7,7,holdout,TD,0.9,0.92,0.020000000000000018,50
7,7,holdout,V,0.95,0.96,0.010000000000000009,50
7,7,holdout,TD,0.95,0.92,0.029999999999999916,50
7,7,cross_fitted,V,0.5,0.54,0.040000000000000036,50
7,7,cross_fitted,TD,0.5,0.46,0.03999999999999998,50
7,7,cross_fitted,V,0.6,0.62,0.020000000000000018,50
7,7,cross_fitted,TD,0.6,0.64,0.040000000000000036,50
7,7,cross_fitted,V,0.7,0.72,0.020000000000000018,50
7,7,cross_fitted,TD,0.7,0.74,0.040000000000000036,50
7,7,cross_fitted,V,0.8,0.86,0.05999999999999994,50
7,7,cross_fitted,TD,0.8,0.84,0.039999999999999925,50
7,7,cross_fitted,V,0.9,0.94,0.039999999999999925,50
7,7,cross_fitted,TD,0.9,0.9,0.0,50
7,7,cross_fitted,V,0.95,1.0,0.050000000000000044,50
7,7,cross_fitted,TD,0.95,0.96,0.010000000000000009,50
8,8,uncalibrated,V,0.5,0.58,0.07999999999999996,50
8,8,uncalibrated,TD,0.5,0.56,0.06000000000000005,50
8,8,uncalibrated,V,0.6,0.68,0.08000000000000007,50
8,8,uncalibrated,TD,0.6,0.68,0.08000000000000007,50
8,8,uncalibrated,V,0.7,0.8,0.10000000000000009,50
8,8,uncalibrated,TD,0.7,0.82,0.12,50
8,8,uncalibrated,V,0.8,0.86,0.05999999999999994,50
8,8,uncalibrated,TD,0.8,0.9,0.09999999999999998,50
8,8,uncalibrated,V,0.9,0.96,0.05999999999999994,50
8,8,uncalibrated,TD,0.9,0.92,0.020000000000000018,50
8,8,uncalibrated,V,0.95,0.98,0.030000000000000027,50
8,8,uncalibrated,TD,0.95,0.94,0.010000000000000009,50
8,8,holdout,V,0.5,0.72,0.21999999999999997,50
8,8,holdout,TD,0.5,0.74,0.24,50
8,8,holdout,V,0.6,0.82,0.21999999999999997,50
8,8,holdout,TD,0.6,0.86,0.26,50
8,8,holdout,V,0.7,0.9,0.20000000000000007,50
8,8,holdout,TD,0.7,0.94,0.24,50
8,8,holdout,V,0.8,0.9,0.09999999999999998,50
8,8,holdout,TD,0.8,0.94,0.1399999999999999,50
8,8,holdout,V,0.9,0.9,0.0,50
8,8,holdout,TD,0.9,0.94,0.039999999999999925,50
8,8,holdout,V,0.95,0.9,0.04999999999999993,50
8,8,holdout,TD,0.95,0.94,0.010000000000000009,50
8,8,cross_fitted,V,0.5,0.58,0.07999999999999996,50
8,8,cross_fitted,TD,0.5,0.66,0.16000000000000003,50
8,8,cross_fitted,V,0.6,0.66,0.06000000000000005,50
8,8,cross_fitted,TD,0.6,0.78,0.18000000000000005,50
8,8,cross_fitted,V,0.7,0.78,0.08000000000000007,50
8,8,cross_fitted,TD,0.7,0.84,0.14,50
8,8,cross_fitted,V,0.8,0.86,0.05999999999999994,50
8,8,cross_fitted,TD,0.8,0.9,0.09999999999999998,50
8,8,cross_fitted,V,0.9,0.9,0.0,50
8,8,cross_fitted,TD,0.9,0.96,0.05999999999999994,50
8,8,cross_fitted,V,0.95,1.0,0.050000000000000044,50
8,8,cross_fitted,TD,0.95,1.0,0.050000000000000044,50
9,9,uncalibrated,V,0.5,0.44,0.06,50
9,9,uncalibrated,TD,0.5,0.38,0.12,50
9,9,uncalibrated,V,0.6,0.62,0.020000000000000018,50
9,9,uncalibrated,TD,0.6,0.5,0.09999999999999998,50
9,9,uncalibrated,V,0.7,0.76,0.06000000000000005,50
9,9,uncalibrated,TD,0.7,0.62,0.07999999999999996,50
9,9,uncalibrated,V,0.8,0.88,0.07999999999999996,50
9,9,uncalibrated,TD,0.8,0.8,0.0,50
9,9,uncalibrated,V,0.9,0.92,0.020000000000000018,50
9,9,uncalibrated,TD,0.9,0.9,0.0,50
9,9,uncalibrated,V,0.95,0.96,0.010000000000000009,50
9,9,uncalibrated,TD,0.95,0.94,0.010000000000000009,50
9,9,holdout,V,0.5,0.66,0.16000000000000003,50
9,9,holdout,TD,0.5,0.6,0.09999999999999998,50
9,9,holdout,V,0.6,0.78,0.18000000000000005,50
9,9,holdout,TD,0.6,0.76,0.16000000000000003,50
9,9,holdout,V,0.7,0.9,0.20000000000000007,50
9,9,holdout,TD,0.7,0.9,0.20000000000000007,50
9,9,holdout,V,0.8,0.9,0.09999999999999998,50
9,9,holdout,TD,0.8,0.9,0.09999999999999998,50
9,9,holdout,V,0.9,0.9,0.0,50
9,9,holdout,TD,0.9,0.9,0.0,50
9,9,holdout,V,0.95,0.9,0.04999999999999993,50
9,9,holdout,TD,0.95,0.9,0.04999999999999993,50
9,9,cross_fitted,V,0.5,0.46,0.03999999999999998,50
9,9,cross_fitted,TD,0.5,0.4,0.09999999999999998,50
9,9,cross_fitted,V,0.6,0.58,0.020000000000000018,50
9,9,cross_fitted,TD,0.6,0.52,0.07999999999999996,50
9,9,cross_fitted,V,0.7,0.72,0.020000000000000018,50
9,9,cross_fitted,TD,0.7,0.64,0.05999999999999994,50
9,9,cross_fitted,V,0.8,0.84,0.039999999999999925,50
9,9,cross_fitted,TD,0.8,0.82,0.019999999999999907,50
9,9,cross_fitted,V,0.9,0.92,0.020000000000000018,50
9,9,cross_fitted,TD,0.9,0.94,0.039999999999999925,50
9,9,cross_fitted,V,0.95,0.98,0.030000000000000027,50
9,9,cross_fitted,TD,0.95,0.96,0.010000000000000009,50
