calibration_method,metric,point_estimate,ci_lower,ci_upper,confidence,bootstrap_unit,n_bootstrap
holdout,macro_MPIW,3.2755845514776816,3.186109750555332,3.3625613962916434,0.95,original_observation_id,2000
holdout,macro_normalized_MPIW,2.0654960967976046,2.008247485863549,2.1205925032079023,0.95,original_observation_id,2000
holdout,macro_interval_score,3.990583312616965,3.5770617236581184,4.50807757285622,0.95,original_observation_id,2000
holdout,macro_normalized_interval_score,2.508148284656876,2.254773429764101,2.81376281749352,0.95,original_observation_id,2000
holdout,simultaneous_joint_coverage,0.8560000000000001,0.786,0.916,0.95,original_observation_id,2000
holdout,V_ECE,0.12599999999999997,0.101,0.16433333333333333,0.95,original_observation_id,2000
holdout,TD_ECE,0.13099999999999998,0.10466666666666666,0.172,0.95,original_observation_id,2000
holdout,macro_ECE,0.1285,0.1056625,0.1631708333333333,0.95,original_observation_id,2000
cross_fitted,V_coverage,0.916,0.8560000000000001,0.968,0.95,original_observation_id,2000
cross_fitted,V_coverage_error,0.016000000000000004,0.014000000000000002,0.07000000000000002,0.95,original_observation_id,2000
cross_fitted,V_MPIW,3.1614871945625707,3.0741132015732466,3.251365041931033,0.95,original_observation_id,2000
cross_fitted,V_normalized_MPIW,1.568232138654698,1.524890921228889,1.6128153743669111,0.95,original_observation_id,2000
cross_fitted,V_interval_score,3.7205819911168185,3.2874671297716196,4.296825201457239,0.95,original_observation_id,2000
cross_fitted,V_normalized_interval_score,1.84556694172427,1.630723545724213,2.131408087527943,0.95,original_observation_id,2000
cross_fitted,TD_coverage,0.9279999999999999,0.868,0.982,0.95,original_observation_id,2000
cross_fitted,TD_coverage_error,0.02799999999999997,0.020000000000000007,0.08199999999999996,0.95,original_observation_id,2000
cross_fitted,TD_MPIW,3.040216956127472,2.9587956182963935,3.1214132620387423,0.95,original_observation_id,2000
cross_fitted,TD_normalized_MPIW,2.3578699262845078,2.29472281323298,2.4208425136348017,0.95,original_observation_id,2000
cross_fitted,TD_interval_score,3.5829450416042854,3.110769616159894,4.13356539729995,0.95,original_observation_id,2000
cross_fitted,TD_normalized_interval_score,2.7787879888315183,2.412587730214435,3.2058269785582936,0.95,original_observation_id,2000
cross_fitted,macro_coverage,0.9219999999999999,0.8690000000000001,0.967,0.95,original_observation_id,2000
cross_fitted,macro_coverage_error,0.021999999999999985,0.020000000000000018,0.06802499999999984,0.95,original_observation_id,2000
cross_fitted,macro_MPIW,3.1008520753450215,3.02755120954789,3.177662752143843,0.95,original_observation_id,2000
cross_fitted,macro_normalized_MPIW,1.9630510324696029,1.9164043125997485,2.0120090486644266,0.95,original_observation_id,2000
cross_fitted,macro_interval_score,3.651763516360552,3.268047791770036,4.141120674083695,0.95,original_observation_id,2000
cross_fitted,macro_normalized_interval_score,2.3121774652778937,2.0679235149952175,2.6287370851190035,0.95,original_observation_id,2000
cross_fitted,simultaneous_joint_coverage,0.8720000000000001,0.798,0.9400000000000001,0.95,original_observation_id,2000
cross_fitted,V_ECE,0.040999999999999995,0.03966666666666667,0.091,0.95,original_observation_id,2000
cross_fitted,TD_ECE,0.07,0.04866666666666668,0.13099999999999998,0.95,original_observation_id,2000
cross_fitted,macro_ECE,0.055499999999999994,0.048,0.10416666666666666,0.95,original_observation_id,2000
